"year";"ctry_code";"country";"population"
"1900";"RU";"Russia";"649,000000"
"1900";"DE";"Germany";"552,000000"
"1900";"AU";"Australia";"36,900000"
"1900";"US";"United States";"788,000000"
"1900";"IN";"India";"2920,000000"
"1901";"RU";"Russia";"655,000000"
"1901";"DE";"Germany";"560,000000"
"1901";"AU";"Australia";"37,600000"
"1901";"US";"United States";"803,000000"
"1901";"IN";"India";"2930,000000"
"1902";"RU";"Russia";"661,000000"
"1902";"DE";"Germany";"568,000000"
"1902";"AU";"Australia";"38,200000"
"1902";"US";"United States";"819,000000"
"1902";"IN";"India";"2950,000000"
"1903";"RU";"Russia";"667,000000"
"1903";"DE";"Germany";"576,000000"
"1903";"AU";"Australia";"38,700000"
"1903";"US";"United States";"836,000000"
"1903";"IN";"India";"2970,000000"
"1904";"RU";"Russia";"673,000000"
"1904";"DE";"Germany";"585,000000"
"1904";"AU";"Australia";"39,400000"
"1904";"US";"United States";"853,000000"
"1904";"IN";"India";"2990,000000"
"1905";"RU";"Russia";"680,000000"
"1905";"DE";"Germany";"594,000000"
"1905";"AU";"Australia";"40,000000"
"1905";"US";"United States";"870,000000"
"1905";"IN";"India";"3010,000000"
"1906";"RU";"Russia";"686,000000"
"1906";"DE";"Germany";"603,000000"
"1906";"AU";"Australia";"40,600000"
"1906";"US";"United States";"888,000000"
"1906";"IN";"India";"3030,000000"
"1907";"RU";"Russia";"692,000000"
"1907";"DE";"Germany";"612,000000"
"1907";"AU";"Australia";"41,200000"
"1907";"US";"United States";"906,000000"
"1907";"IN";"India";"3050,000000"
"1908";"RU";"Russia";"698,000000"
"1908";"DE";"Germany";"621,000000"
"1908";"AU";"Australia";"41,900000"
"1908";"US";"United States";"924,000000"
"1908";"IN";"India";"3070,000000"
"1909";"RU";"Russia";"705,000000"
"1909";"DE";"Germany";"628,000000"
"1909";"AU";"Australia";"42,500000"
"1909";"US";"United States";"942,000000"
"1909";"IN";"India";"3080,000000"
"1910";"RU";"Russia";"711,000000"
"1910";"DE";"Germany";"632,000000"
"1910";"AU";"Australia";"43,300000"
"1910";"US";"United States";"959,000000"
"1910";"IN";"India";"3100,000000"
"1911";"RU";"Russia";"717,000000"
"1911";"DE";"Germany";"635,000000"
"1911";"AU";"Australia";"44,100000"
"1911";"US";"United States";"975,000000"
"1911";"IN";"India";"3110,000000"
"1912";"RU";"Russia";"724,000000"
"1912";"DE";"Germany";"635,000000"
"1912";"AU";"Australia";"44,900000"
"1912";"US";"United States";"990,000000"
"1912";"IN";"India";"3120,000000"
"1913";"RU";"Russia";"731,000000"
"1913";"DE";"Germany";"634,000000"
"1913";"AU";"Australia";"45,900000"
"1913";"US";"United States";"1010,000000"
"1913";"IN";"India";"3120,000000"
"1914";"RU";"Russia";"737,000000"
"1914";"DE";"Germany";"632,000000"
"1914";"AU";"Australia";"46,800000"
"1914";"US";"United States";"1020,000000"
"1914";"IN";"India";"3130,000000"
"1915";"RU";"Russia";"744,000000"
"1915";"DE";"Germany";"630,000000"
"1915";"AU";"Australia";"47,700000"
"1915";"US";"United States";"1040,000000"
"1915";"IN";"India";"3130,000000"
"1916";"RU";"Russia";"751,000000"
"1916";"DE";"Germany";"628,000000"
"1916";"AU";"Australia";"48,700000"
"1916";"US";"United States";"1050,000000"
"1916";"IN";"India";"3140,000000"
"1917";"RU";"Russia";"758,000000"
"1917";"DE";"Germany";"626,000000"
"1917";"AU";"Australia";"49,700000"
"1917";"US";"United States";"1070,000000"
"1917";"IN";"India";"3140,000000"
"1918";"RU";"Russia";"765,000000"
"1918";"DE";"Germany";"624,000000"
"1918";"AU";"Australia";"50,700000"
"1918";"US";"United States";"1080,000000"
"1918";"IN";"India";"3150,000000"
"1919";"RU";"Russia";"772,000000"
"1919";"DE";"Germany";"623,000000"
"1919";"AU";"Australia";"51,700000"
"1919";"US";"United States";"1100,000000"
"1919";"IN";"India";"3150,000000"
"1920";"RU";"Russia";"779,000000"
"1920";"DE";"Germany";"624,000000"
"1920";"AU";"Australia";"52,700000"
"1920";"US";"United States";"1110,000000"
"1920";"IN";"India";"3170,000000"
"1921";"RU";"Russia";"786,000000"
"1921";"DE";"Germany";"626,000000"
"1921";"AU";"Australia";"53,800000"
"1921";"US";"United States";"1130,000000"
"1921";"IN";"India";"3190,000000"
"1922";"RU";"Russia";"1524,030000"
"1922";"DE";"Germany";"628,000000"
"1922";"AU";"Australia";"54,800000"
"1922";"US";"United States";"1150,000000"
"1922";"IN";"India";"3210,000000"
"1923";"RU";"Russia";"1530,550000"
"1923";"DE";"Germany";"633,000000"
"1923";"AU";"Australia";"55,900000"
"1923";"US";"United States";"1160,000000"
"1923";"IN";"India";"3250,000000"
"1924";"RU";"Russia";"1555,810000"
"1924";"DE";"Germany";"637,000000"
"1924";"AU";"Australia";"56,900000"
"1924";"US";"United States";"1180,000000"
"1924";"IN";"India";"3280,000000"
"1925";"RU";"Russia";"1589,830000"
"1925";"DE";"Germany";"641,000000"
"1925";"AU";"Australia";"58,000000"
"1925";"US";"United States";"1200,000000"
"1925";"IN";"India";"3310,000000"
"1926";"RU";"Russia";"1626,210000"
"1926";"DE";"Germany";"645,000000"
"1926";"AU";"Australia";"59,100000"
"1926";"US";"United States";"1210,000000"
"1926";"IN";"India";"3340,000000"
"1927";"RU";"Russia";"1661,170000"
"1927";"DE";"Germany";"650,000000"
"1927";"AU";"Australia";"60,200000"
"1927";"US";"United States";"1230,000000"
"1927";"IN";"India";"3370,000000"
"1928";"RU";"Russia";"1692,690000"
"1928";"DE";"Germany";"654,000000"
"1928";"AU";"Australia";"61,400000"
"1928";"US";"United States";"1250,000000"
"1928";"IN";"India";"3400,000000"
"1929";"RU";"Russia";"1720,170000"
"1929";"DE";"Germany";"659,000000"
"1929";"AU";"Australia";"62,400000"
"1929";"US";"United States";"1270,000000"
"1929";"IN";"India";"3440,000000"
"1930";"RU";"Russia";"1742,120000"
"1930";"DE";"Germany";"663,000000"
"1930";"AU";"Australia";"63,300000"
"1930";"US";"United States";"1280,000000"
"1930";"IN";"India";"3480,000000"
"1931";"RU";"Russia";"1759,870000"
"1931";"DE";"Germany";"668,000000"
"1931";"AU";"Australia";"64,100000"
"1931";"US";"United States";"1290,000000"
"1931";"IN";"India";"3520,000000"
"1932";"RU";"Russia";"1768,070000"
"1932";"DE";"Germany";"672,000000"
"1932";"AU";"Australia";"64,800000"
"1932";"US";"United States";"1310,000000"
"1932";"IN";"India";"3570,000000"
"1933";"RU";"Russia";"1774,010000"
"1933";"DE";"Germany";"677,000000"
"1933";"AU";"Australia";"65,400000"
"1933";"US";"United States";"1310,000000"
"1933";"IN";"India";"3620,000000"
"1934";"RU";"Russia";"1784,530000"
"1934";"DE";"Germany";"682,000000"
"1934";"AU";"Australia";"65,900000"
"1934";"US";"United States";"1320,000000"
"1934";"IN";"India";"3670,000000"
"1935";"RU";"Russia";"1796,360000"
"1935";"DE";"Germany";"687,000000"
"1935";"AU";"Australia";"66,500000"
"1935";"US";"United States";"1330,000000"
"1935";"IN";"India";"3720,000000"
"1936";"RU";"Russia";"1815,020000"
"1936";"DE";"Germany";"691,000000"
"1936";"AU";"Australia";"67,000000"
"1936";"US";"United States";"1340,000000"
"1936";"IN";"India";"3770,000000"
"1937";"RU";"Russia";"1846,260000"
"1937";"DE";"Germany";"696,000000"
"1937";"AU";"Australia";"67,600000"
"1937";"US";"United States";"1350,000000"
"1937";"IN";"India";"3830,000000"
"1938";"RU";"Russia";"1884,980000"
"1938";"DE";"Germany";"701,000000"
"1938";"AU";"Australia";"68,200000"
"1938";"US";"United States";"1360,000000"
"1938";"IN";"India";"3880,000000"
"1939";"RU";"Russia";"1923,790000"
"1939";"DE";"Germany";"705,000000"
"1939";"AU";"Australia";"68,900000"
"1939";"US";"United States";"1370,000000"
"1939";"IN";"India";"3920,000000"
"1940";"RU";"Russia";"1959,700000"
"1940";"DE";"Germany";"707,000000"
"1940";"AU";"Australia";"69,700000"
"1940";"US";"United States";"1390,000000"
"1940";"IN";"India";"3940,000000"
"1941";"RU";"Russia";"945,000000"
"1941";"DE";"Germany";"708,000000"
"1941";"AU";"Australia";"70,600000"
"1941";"US";"United States";"1400,000000"
"1941";"IN";"India";NA
"1942";"RU";"Russia";"953,000000"
"1942";"DE";"Germany";"708,000000"
"1942";"AU";"Australia";"71,600000"
"1942";"US";"United States";"1420,000000"
"1942";"IN";"India";"3930,000000"
"1943";"RU";"Russia";"962,000000"
"1943";"DE";"Germany";"707,000000"
"1943";"AU";"Australia";"72,800000"
"1943";"US";"United States";"1440,000000"
"1943";"IN";"India";"3900,000000"
"1944";"RU";"Russia";"971,000000"
"1944";"DE";"Germany";"705,000000"
"1944";"AU";"Australia";"74,000000"
"1944";"US";"United States";"1460,000000"
"1944";"IN";"India";"3870,000000"
"1945";"RU";"Russia";"980,000000"
"1945";"DE";"Germany";"704,000000"
"1945";"AU";"Australia";"75,200000"
"1945";"US";"United States";"1480,000000"
"1945";"IN";"India";"3840,000000"
"1946";"RU";"Russia";"1739,000000"
"1946";"DE";"Germany";"702,000000"
"1946";"AU";"Australia";"76,400000"
"1946";"US";"United States";"1500,000000"
"1946";"IN";"India";"3820,000000"
"1947";"RU";"Russia";"1740,000000"
"1947";"DE";"Germany";"701,000000"
"1947";"AU";"Australia";"77,600000"
"1947";"US";"United States";"1520,000000"
"1947";"IN";"India";"3790,000000"
"1948";"RU";"Russia";"1751,000000"
"1948";"DE";"Germany";"699,000000"
"1948";"AU";"Australia";"78,900000"
"1948";"US";"United States";"1540,000000"
"1948";"IN";"India";"3760,000000"
"1949";"RU";"Russia";"1775,000000"
"1949";"DE";"Germany";"699,000000"
"1949";"AU";"Australia";"80,300000"
"1949";"US";"United States";"1560,000000"
"1949";"IN";"India";"3750,000000"
"1950";"RU";"Russia";"1795,710000"
"1950";"DE";"Germany";"700,000000"
"1950";"AU";"Australia";"81,800000"
"1950";"US";"United States";"1590,000000"
"1950";"IN";"India";"3760,000000"
"1951";"RU";"Russia";"1826,770000"
"1951";"DE";"Germany";"703,000000"
"1951";"AU";"Australia";"84,000000"
"1951";"US";"United States";"1610,000000"
"1951";"IN";"India";"3820,000000"
"1952";"RU";"Russia";"1858,560000"
"1952";"DE";"Germany";"706,000000"
"1952";"AU";"Australia";"86,000000"
"1952";"US";"United States";"1630,000000"
"1952";"IN";"India";"3890,000000"
"1953";"RU";"Russia";"1889,610000"
"1953";"DE";"Germany";"709,000000"
"1953";"AU";"Australia";"87,800000"
"1953";"US";"United States";"1660,000000"
"1953";"IN";"India";"3960,000000"
"1954";"RU";"Russia";"1921,710000"
"1954";"DE";"Germany";"712,000000"
"1954";"AU";"Australia";"89,700000"
"1954";"US";"United States";"1690,000000"
"1954";"IN";"India";"4030,000000"
"1955";"RU";"Russia";"1956,130000"
"1955";"DE";"Germany";"715,000000"
"1955";"AU";"Australia";"91,700000"
"1955";"US";"United States";"1720,000000"
"1955";"IN";"India";"4100,000000"
"1956";"RU";"Russia";"1991,030000"
"1956";"DE";"Germany";"719,000000"
"1956";"AU";"Australia";"93,700000"
"1956";"US";"United States";"1750,000000"
"1956";"IN";"India";"4170,000000"
"1957";"RU";"Russia";"2026,040000"
"1957";"DE";"Germany";"722,000000"
"1957";"AU";"Australia";"95,900000"
"1957";"US";"United States";"1780,000000"
"1957";"IN";"India";"4250,000000"
"1958";"RU";"Russia";"2062,010000"
"1958";"DE";"Germany";"725,000000"
"1958";"AU";"Australia";"98,100000"
"1958";"US";"United States";"1810,000000"
"1958";"IN";"India";"4330,000000"
"1959";"RU";"Russia";"2099,280000"
"1959";"DE";"Germany";"730,000000"
"1959";"AU";"Australia";"100,000000"
"1959";"US";"United States";"1840,000000"
"1959";"IN";"India";"4420,000000"
"1960";"RU";"Russia";"2137,800000"
"1960";"DE";"Germany";"734,000000"
"1960";"AU";"Australia";"102,000000"
"1960";"US";"United States";"1870,000000"
"1960";"IN";"India";"4510,000000"
"1961";"RU";"Russia";"2176,180000"
"1961";"DE";"Germany";"739,000000"
"1961";"AU";"Australia";"104,000000"
"1961";"US";"United States";"1900,000000"
"1961";"IN";"India";"4600,000000"
"1962";"RU";"Russia";"2212,270000"
"1962";"DE";"Germany";"745,000000"
"1962";"AU";"Australia";"106,000000"
"1962";"US";"United States";"1920,000000"
"1962";"IN";"India";"4690,000000"
"1963";"RU";"Russia";"2245,850000"
"1963";"DE";"Germany";"751,000000"
"1963";"AU";"Australia";"108,000000"
"1963";"US";"United States";"1950,000000"
"1963";"IN";"India";"4790,000000"
"1964";"RU";"Russia";"2276,980000"
"1964";"DE";"Germany";"757,000000"
"1964";"AU";"Australia";"111,000000"
"1964";"US";"United States";"1970,000000"
"1964";"IN";"India";"4890,000000"
"1965";"RU";"Russia";"2305,130000"
"1965";"DE";"Germany";"763,000000"
"1965";"AU";"Australia";"113,000000"
"1965";"US";"United States";"2000,000000"
"1965";"IN";"India";"4990,000000"
"1966";"RU";"Russia";"2331,390000"
"1966";"DE";"Germany";"768,000000"
"1966";"AU";"Australia";"116,000000"
"1966";"US";"United States";"2020,000000"
"1966";"IN";"India";"5100,000000"
"1967";"RU";"Russia";"2356,300000"
"1967";"DE";"Germany";"774,000000"
"1967";"AU";"Australia";"119,000000"
"1967";"US";"United States";"2040,000000"
"1967";"IN";"India";"5200,000000"
"1968";"RU";"Russia";"2379,830000"
"1968";"DE";"Germany";"778,000000"
"1968";"AU";"Australia";"122,000000"
"1968";"US";"United States";"2060,000000"
"1968";"IN";"India";"5320,000000"
"1969";"RU";"Russia";"2402,530000"
"1969";"DE";"Germany";"783,000000"
"1969";"AU";"Australia";"125,000000"
"1969";"US";"United States";"2080,000000"
"1969";"IN";"India";"5430,000000"
"1970";"RU";"Russia";"2424,780000"
"1970";"DE";"Germany";"786,000000"
"1970";"AU";"Australia";"128,000000"
"1970";"US";"United States";"2100,000000"
"1970";"IN";"India";"5550,000000"
"1971";"RU";"Russia";"2448,870000"
"1971";"DE";"Germany";"788,000000"
"1971";"AU";"Australia";"130,000000"
"1971";"US";"United States";"2110,000000"
"1971";"IN";"India";"5680,000000"
"1972";"RU";"Russia";"2473,430000"
"1972";"DE";"Germany";"789,000000"
"1972";"AU";"Australia";"132,000000"
"1972";"US";"United States";"2130,000000"
"1972";"IN";"India";"5810,000000"
"1973";"RU";"Russia";"2497,120000"
"1973";"DE";"Germany";"789,000000"
"1973";"AU";"Australia";"134,000000"
"1973";"US";"United States";"2150,000000"
"1973";"IN";"India";"5950,000000"
"1974";"RU";"Russia";"2521,110000"
"1974";"DE";"Germany";"789,000000"
"1974";"AU";"Australia";"136,000000"
"1974";"US";"United States";"2170,000000"
"1974";"IN";"India";"6090,000000"
"1975";"RU";"Russia";"2545,190000"
"1975";"DE";"Germany";"789,000000"
"1975";"AU";"Australia";"138,000000"
"1975";"US";"United States";"2190,000000"
"1975";"IN";"India";"6230,000000"
"1976";"RU";"Russia";"2568,830000"
"1976";"DE";"Germany";"788,000000"
"1976";"AU";"Australia";"139,000000"
"1976";"US";"United States";"2210,000000"
"1976";"IN";"India";"6380,000000"
"1977";"RU";"Russia";"2592,250000"
"1977";"DE";"Germany";"787,000000"
"1977";"AU";"Australia";"141,000000"
"1977";"US";"United States";"2230,000000"
"1977";"IN";"India";"6520,000000"
"1978";"RU";"Russia";"2615,250000"
"1978";"DE";"Germany";"786,000000"
"1978";"AU";"Australia";"142,000000"
"1978";"US";"United States";"2250,000000"
"1978";"IN";"India";"6670,000000"
"1979";"RU";"Russia";"2637,510000"
"1979";"DE";"Germany";"784,000000"
"1979";"AU";"Australia";"144,000000"
"1979";"US";"United States";"2270,000000"
"1979";"IN";"India";"6830,000000"
"1980";"RU";"Russia";"2659,260000"
"1980";"DE";"Germany";"783,000000"
"1980";"AU";"Australia";"146,000000"
"1980";"US";"United States";"2290,000000"
"1980";"IN";"India";"6990,000000"
"1981";"RU";"Russia";"2681,230000"
"1981";"DE";"Germany";"781,000000"
"1981";"AU";"Australia";"148,000000"
"1981";"US";"United States";"2320,000000"
"1981";"IN";"India";"7150,000000"
"1982";"RU";"Russia";"2703,900000"
"1982";"DE";"Germany";"779,000000"
"1982";"AU";"Australia";"150,000000"
"1982";"US";"United States";"2340,000000"
"1982";"IN";"India";"7320,000000"
"1983";"RU";"Russia";"2727,170000"
"1983";"DE";"Germany";"778,000000"
"1983";"AU";"Australia";"152,000000"
"1983";"US";"United States";"2360,000000"
"1983";"IN";"India";"7490,000000"
"1984";"RU";"Russia";"2753,300000"
"1984";"DE";"Germany";"777,000000"
"1984";"AU";"Australia";"154,000000"
"1984";"US";"United States";"2380,000000"
"1984";"IN";"India";"7670,000000"
"1985";"RU";"Russia";"2778,120000"
"1985";"DE";"Germany";"777,000000"
"1985";"AU";"Australia";"157,000000"
"1985";"US";"United States";"2400,000000"
"1985";"IN";"India";"7840,000000"
"1986";"RU";"Russia";"2802,960000"
"1986";"DE";"Germany";"778,000000"
"1986";"AU";"Australia";"159,000000"
"1986";"US";"United States";"2430,000000"
"1986";"IN";"India";"8020,000000"
"1987";"RU";"Russia";"2827,180000"
"1987";"DE";"Germany";"780,000000"
"1987";"AU";"Australia";"162,000000"
"1987";"US";"United States";"2450,000000"
"1987";"IN";"India";"8200,000000"
"1988";"RU";"Russia";"2850,200000"
"1988";"DE";"Germany";"783,000000"
"1988";"AU";"Australia";"165,000000"
"1988";"US";"United States";"2470,000000"
"1988";"IN";"India";"8370,000000"
"1989";"RU";"Russia";"2864,620000"
"1989";"DE";"Germany";"787,000000"
"1989";"AU";"Australia";"167,000000"
"1989";"US";"United States";"2500,000000"
"1989";"IN";"India";"8550,000000"
"1990";"RU";"Russia";"2883,610000"
"1990";"DE";"Germany";"791,000000"
"1990";"AU";"Australia";"170,000000"
"1990";"US";"United States";"2520,000000"
"1990";"IN";"India";"8730,000000"
"1991";"RU";"Russia";"2899,490000"
"1991";"DE";"Germany";"795,000000"
"1991";"AU";"Australia";"172,000000"
"1991";"US";"United States";"2550,000000"
"1991";"IN";"India";"8910,000000"
"1992";"RU";"Russia";"1482,723385"
"1992";"DE";"Germany";"800,000000"
"1992";"AU";"Australia";"174,000000"
"1992";"US";"United States";"2570,000000"
"1992";"IN";"India";"9090,000000"
"1993";"RU";"Russia";"1480,727795"
"1993";"DE";"Germany";"804,000000"
"1993";"AU";"Australia";"176,000000"
"1993";"US";"United States";"2600,000000"
"1993";"IN";"India";"9270,000000"
"1994";"RU";"Russia";"1481,725590"
"1994";"DE";"Germany";"808,000000"
"1994";"AU";"Australia";"178,000000"
"1994";"US";"United States";"2620,000000"
"1994";"IN";"India";"9460,000000"
"1995";"RU";"Russia";"1479,730000"
"1995";"DE";"Germany";"811,000000"
"1995";"AU";"Australia";"180,000000"
"1995";"US";"United States";"2650,000000"
"1995";"IN";"India";"9640,000000"
"1996";"RU";"Russia";"1479,730000"
"1996";"DE";"Germany";"813,000000"
"1996";"AU";"Australia";"182,000000"
"1996";"US";"United States";"2680,000000"
"1996";"IN";"India";"9820,000000"
"1997";"RU";"Russia";"1474,741025"
"1997";"DE";"Germany";"814,000000"
"1997";"AU";"Australia";"184,000000"
"1997";"US";"United States";"2720,000000"
"1997";"IN";"India";"10000,000000"
"1998";"RU";"Russia";"1471,747640"
"1998";"DE";"Germany";"814,000000"
"1998";"AU";"Australia";"186,000000"
"1998";"US";"United States";"2750,000000"
"1998";"IN";"India";"10200,000000"
"1999";"RU";"Russia";"1465,760870"
"1999";"DE";"Germany";"814,000000"
"1999";"AU";"Australia";"188,000000"
"1999";"US";"United States";"2790,000000"
"1999";"IN";"India";"10400,000000"
"2000";"RU";"Russia";"1459,774100"
"2000";"DE";"Germany";"814,000000"
"2000";"AU";"Australia";"190,000000"
"2000";"US";"United States";"2820,000000"
"2000";"IN";"India";"10600,000000"
"2001";"RU";"Russia";"1448,798355"
"2001";"DE";"Germany";"815,000000"
"2001";"AU";"Australia";"192,000000"
"2001";"US";"United States";"2850,000000"
"2001";"IN";"India";"10800,000000"
"2002";"RU";"Russia";"1446,802765"
"2002";"DE";"Germany";"815,000000"
"2002";"AU";"Australia";"194,000000"
"2002";"US";"United States";"2870,000000"
"2002";"IN";"India";"10900,000000"
"2003";"RU";"Russia";"1439,818200"
"2003";"DE";"Germany";"816,000000"
"2003";"AU";"Australia";"196,000000"
"2003";"US";"United States";"2900,000000"
"2003";"IN";"India";"11100,000000"
"2004";"RU";"Russia";"1434,829225"
"2004";"DE";"Germany";"816,000000"
"2004";"AU";"Australia";"199,000000"
"2004";"US";"United States";"2920,000000"
"2004";"IN";"India";"11300,000000"
"2005";"RU";"Russia";"1428,842454"
"2005";"DE";"Germany";"816,000000"
"2005";"AU";"Australia";"202,000000"
"2005";"US";"United States";"2950,000000"
"2005";"IN";"India";"11500,000000"
"2006";"RU";"Russia";"1424,851274"
"2006";"DE";"Germany";"815,000000"
"2006";"AU";"Australia";"205,000000"
"2006";"US";"United States";"2980,000000"
"2006";"IN";"India";"11700,000000"
"2007";"RU";"Russia";"1424,851274"
"2007";"DE";"Germany";"813,000000"
"2007";"AU";"Australia";"209,000000"
"2007";"US";"United States";"3010,000000"
"2007";"IN";"India";"11800,000000"
"2008";"RU";"Russia";"1423,853479"
"2008";"DE";"Germany";"811,000000"
"2008";"AU";"Australia";"213,000000"
"2008";"US";"United States";"3030,000000"
"2008";"IN";"India";"12000,000000"
"2009";"RU";"Russia";"1424,851274"
"2009";"DE";"Germany";"809,000000"
"2009";"AU";"Australia";"218,000000"
"2009";"US";"United States";"3060,000000"
"2009";"IN";"India";"12200,000000"
"2010";"RU";"Russia";"1425,849069"
"2010";"DE";"Germany";"808,000000"
"2010";"AU";"Australia";"222,000000"
"2010";"US";"United States";"3090,000000"
"2010";"IN";"India";"12300,000000"
"2011";"RU";"Russia";"1426,846864"
"2011";"DE";"Germany";"809,000000"
"2011";"AU";"Australia";"225,000000"
"2011";"US";"United States";"3120,000000"
"2011";"IN";"India";"12500,000000"
"2012";"RU";"Russia";"1429,840249"
"2012";"DE";"Germany";"810,000000"
"2012";"AU";"Australia";"229,000000"
"2012";"US";"United States";"3140,000000"
"2012";"IN";"India";"12700,000000"
"2013";"RU";"Russia";"1433,831430"
"2013";"DE";"Germany";"812,000000"
"2013";"AU";"Australia";"233,000000"
"2013";"US";"United States";"3160,000000"
"2013";"IN";"India";"12800,000000"
"2014";"RU";"Russia";"1459,774100"
"2014";"DE";"Germany";"815,000000"
"2014";"AU";"Australia";"236,000000"
"2014";"US";"United States";"3190,000000"
"2014";"IN";"India";"13000,000000"
"1890";"RU";"Russia";NA
"1890";"DE";"Germany";NA
"1890";"AU";"Australia";NA
"1890";"US";"United States";"647,000000"
"1890";"IN";"India";NA
"1891";"RU";"Russia";NA
"1891";"DE";"Germany";NA
"1891";"AU";"Australia";NA
"1891";"US";"United States";"661,000000"
"1891";"IN";"India";NA
"1892";"RU";"Russia";NA
"1892";"DE";"Germany";NA
"1892";"AU";"Australia";NA
"1892";"US";"United States";"674,000000"
"1892";"IN";"India";NA
"1893";"RU";"Russia";NA
"1893";"DE";"Germany";NA
"1893";"AU";"Australia";NA
"1893";"US";"United States";"687,000000"
"1893";"IN";"India";NA
"1894";"RU";"Russia";NA
"1894";"DE";"Germany";NA
"1894";"AU";"Australia";NA
"1894";"US";"United States";"701,000000"
"1894";"IN";"India";NA
"1895";"RU";"Russia";NA
"1895";"DE";"Germany";NA
"1895";"AU";"Australia";NA
"1895";"US";"United States";"715,000000"
"1895";"IN";"India";NA
"1896";"RU";"Russia";NA
"1896";"DE";"Germany";NA
"1896";"AU";"Australia";NA
"1896";"US";"United States";"729,000000"
"1896";"IN";"India";NA
"1897";"RU";"Russia";NA
"1897";"DE";"Germany";NA
"1897";"AU";"Australia";NA
"1897";"US";"United States";"743,000000"
"1897";"IN";"India";"2890,000000"
"1898";"RU";"Russia";NA
"1898";"DE";"Germany";NA
"1898";"AU";"Australia";NA
"1898";"US";"United States";"757,000000"
"1898";"IN";"India";"2900,000000"
"1899";"RU";"Russia";NA
"1899";"DE";"Germany";NA
"1899";"AU";"Australia";NA
"1899";"US";"United States";"772,000000"
"1899";"IN";"India";"2910,000000"
"2015";"US";"United States";"3210,000000"
"2016";"US";"United States";"3230,000000"
"2017";"US";"United States";"3250,000000"
"2018";"US";"United States";"3270,000000"
"2015";"IN";"India";"13100,000000"
"2016";"IN";"India";"13200,000000"
"2017";"IN";"India";"13400,000000"
"2018";"IN";"India";"13500,000000"
"2015";"DE";"Germany";"818,000000"
"2016";"DE";"Germany";"822,000000"
"2017";"DE";"Germany";"827,000000"
"2018";"DE";"Germany";"831,000000"
"2015";"AU";"Australia";"239,000000"
"2016";"AU";"Australia";"243,000000"
"2017";"AU";"Australia";"246,000000"
"2018";"AU";"Australia";"249,000000"
"2015";"RU";"Russia";"1455,000000"
"2016";"RU";"Russia";"1460,000000"
"2017";"RU";"Russia";"1460,000000"
"2018";"RU";"Russia";"1460,000000"
NA;"";"";NA
NA;"";"";NA
NA;"";"";NA
NA;"";"";NA
NA;"";"";NA
